,Date,Price,Open,High,Low,Vol.,Change %,realbody,range,bullish_pinbar,bearish_three-line_strike,bullish_pinbar_success,bearish_three-line_strike_success
40,"Feb 10, 2021",44836.0,46507.8,47295.3,43800.5,151.83K,-3.60%,1671.800000000003,3494.800000000003,False,False,,
41,"Feb 11, 2021",47990.7,44834.8,48622.1,44041.1,145.77K,7.04%,-3155.899999999994,4581.0,False,False,,
42,"Feb 12, 2021",47371.7,47995.0,48927.4,46218.6,133.73K,-1.29%,623.3000000000029,2708.800000000003,False,False,,
43,"Feb 13, 2021",47168.7,47373.1,48097.3,46270.5,89.42K,-0.43%,204.40000000000146,1826.800000000003,False,False,,
44,"Feb 14, 2021",48643.4,47172.1,49695.1,47051.9,106.50K,3.13%,-1471.300000000003,2643.199999999997,False,False,,
45,"Feb 15, 2021",47936.3,48611.1,48936.5,45786.1,123.18K,-1.45%,674.7999999999956,3150.4000000000015,False,False,,
46,"Feb 16, 2021",49169.7,47934.2,50515.8,47044.4,141.37K,2.57%,-1235.5,3471.4000000000015,False,False,,
47,"Feb 17, 2021",52079.2,49161.3,52577.7,49018.1,140.03K,5.92%,-2917.899999999994,3559.5999999999985,False,False,,
48,"Feb 18, 2021",51582.2,52094.5,52524.0,50941.6,94.35K,-0.95%,512.3000000000029,1582.4000000000015,False,False,,
49,"Feb 19, 2021",55906.6,51590.1,56238.5,50816.8,139.43K,8.38%,-4316.5,5421.699999999997,False,False,,
50,"Feb 20, 2021",55923.7,55922.0,57523.8,54124.1,127.85K,0.03%,-1.6999999999970896,3399.7000000000044,False,False,,
51,"Feb 21, 2021",57433.8,55907.6,58335.1,55502.7,87.26K,2.70%,-1526.2000000000044,2832.4000000000015,False,False,,
52,"Feb 22, 2021",54111.8,57437.6,57480.8,48353.8,244.95K,-5.78%,3325.7999999999956,9127.0,False,False,,
53,"Feb 23, 2021",48911.2,54114.1,54115.0,45093.8,315.07K,-9.61%,5202.9000000000015,9021.199999999997,False,False,,
54,"Feb 24, 2021",49697.5,48911.1,51311.8,47031.7,153.75K,1.61%,-786.4000000000015,4280.100000000006,False,False,,
55,"Feb 25, 2021",46928.5,49695.9,52013.8,46773.7,83.22K,-5.57%,2767.4000000000015,5240.100000000006,False,False,,
56,"Feb 26, 2021",46345.6,46928.5,48413.9,44248.2,189.41K,-1.24%,582.9000000000015,4165.700000000004,False,False,,
57,"Feb 27, 2021",46136.7,46333.1,48335.1,45059.4,98.75K,-0.45%,196.40000000000146,3275.699999999997,False,False,,
58,"Feb 28, 2021",45164.0,46136.0,46582.0,43100.6,135.08K,-2.11%,972.0,3481.4000000000015,False,False,,
59,"Mar 01, 2021",49595.5,45160.5,49774.0,45008.8,137.52K,9.81%,-4435.0,4765.199999999997,True,False,True,
